NAZWA,KATEGORIA
Alerbon kaps. - 30 kaps.,Alergia - Calcium
Alerbon kaps. - 60 kaps.,Alergia - Calcium
Alercium pastyl.do ssania - 12 pastyl.,Alergia - Calcium
Alerdes tabl.powl. 5 mg 10 tabl.,Alergia - Calcium
AlergoTeva (Flynise) tabl.powl. 5 mg 10 tabl.,Alergia - Calcium
Aleric Deslo Active roztw.doust. 500 mcg/ml 60 ml (but.),Alergia - Calcium
Aleric Deslo Active tabl.powl. 5 mg 10 tabl.,Alergia - Calcium
"Aleric Deslo Active tabl.uleg.rozpad.w j.ust. 2,5 mg 10 tabl.",Alergia - Calcium
Aleric Deslo Active tabl.uleg.rozpad.w j.ust. 5 mg 10 tabl.,Alergia - Calcium
Alerzina tabl.powl. 10 mg 10 tabl. (blist.),Alergia - Calcium
Alerzina tabl.powl. 10 mg 10 tabl. (poj.),Alergia - Calcium
Allegra tabl.powl. 120 mg 10 tabl.,Alergia - Calcium
Allergocaps kaps. - 30 kaps.,Alergia - Calcium
Allerin tabletki tabl. - 15 tabl.,Alergia - Calcium
Allertec Fexo tabl.powl. 120 mg 10 tabl.,Alergia - Calcium
Allertec tabl.powl. 10 mg 7 tabl.,Alergia - Calcium
Allertec WZF tabl.powl. 10 mg 10 tabl. (blist.),Alergia - Calcium
Allertec WZF tabl.powl. 10 mg 7 tabl. (blist.),Alergia - Calcium
Amertil Bio tabl.powl. 10 mg 10 tabl. (blist.),Alergia - Calcium
Amertil Bio tabl.powl. 10 mg 7 tabl.,Alergia - Calcium
Amertil Biotabs tabl.do ssania 10 mg 10 tabl.,Alergia - Calcium
CetAlergin tabl.powl. 10 mg 10 tabl. (blist.),Alergia - Calcium
"CetAlergin Ten tabl.powl. 0,01 g 10 tabl. (blister)",Alergia - Calcium
Cetigran tabl.powl. 10 mg 10 tabl.,Alergia - Calcium
Cetip tabl.powl. 10 mg 10 tabl.,Alergia - Calcium
Cetirizine Genoptim SPH tabl.powl. 10 mg 10 tabl.,Alergia - Calcium
Cirrus Duo (Cirrus) tabl.o przedł.uwaln. 5mg+120mg 14 tabl.,Alergia - Calcium
Cirrus Duo (Cirrus) tabl.o przedł.uwaln. 5mg+120mg 6 tabl.,Alergia - Calcium
Cirrus kaps. 5mg+120mg 14 kaps.,Alergia - Calcium
Claritine Active tabl.o przedł.uwaln. 5mg+120mg 10 tabl. (blist.),Alergia - Calcium
Claritine Active tabl.o przedł.uwaln. 5mg+120mg 6 tabl. (1 blist. po 6 tabl.),Alergia - Calcium
Claritine Allergy (Nalergine) tabl. 10 mg 7 tabl.,Alergia - Calcium
Claritine Allergy syrop 1 mg/ml 1 but. po 60 ml,Alergia - Calcium
"Claritine Allergy tabl. 0,01 g 7 tabl.",Alergia - Calcium
Claritine Allergy tabl. 10 mg 7 tabl.,Alergia - Calcium
Claritine Allergy tabl. 10 mg 7 tabl.,Alergia - Calcium
Claritine Allergy tabl. 10 mg 7 tabl.,Alergia - Calcium
Claritine Allergy tabl. 10 mg 7 tabl.,Alergia - Calcium
Contrahist Allergy tabl.powl. 5 mg 10 tabl.,Alergia - Calcium
Dasergin tabl.powl. 5 mg 10 tabl.,Alergia - Calcium
Delortan Allergy tabl.powl. 5 mg 10 tabl.,Alergia - Calcium
Doppelherz aktiv Na alergie saszetki - - 21 sasz.,Alergia - Calcium
"Duozinal syrop (2,5mg+58mg Ca 2+)/5 150 ml",Alergia - Calcium
Dynid Gem tabl. 5 mg 10 tabl.,Alergia - Calcium
Fenistil - 1 mg/ml 20 ml,Alergia - Calcium
Fenistil krop.doust. 1 mg/ml 20 ml,Alergia - Calcium
"Fenistil krop.doust., roztw. 1 mg/ml 1 but. po 20 ml",Alergia - Calcium
"Fenistil krop.doust., roztw. 1 mg/ml 20 ml",Alergia - Calcium
"Fenistil krop.doust., roztw. 1 mg/ml 20 ml",Alergia - Calcium
"Fenistil krop.doust., roztw. 1 mg/ml 20 ml",Alergia - Calcium
"Fenistil krop.doust., roztw. 1 mg/ml 20 ml (but.)",Alergia - Calcium
"Fenistil krop.doust., roztw. 1 mg/ml 20 ml (but.)",Alergia - Calcium
"Fenistil krop.doust., roztw. 1 mg/ml 20 ml (but.)",Alergia - Calcium
"Fenistil krop.doustne, roztwór 1 mg/ml 20 ml (butelka)",Alergia - Calcium
Flonidan Control tabl. 10 mg 10 tabl. (blist.),Alergia - Calcium
Flonidan tabl. 10 mg 10 tabl.,Alergia - Calcium
Goldesin alerstop tabl.powl. 5 mg 10 tabl.,Alergia - Calcium
HEEL Luffa compositum - Heel aer.do nosa - 20 ml,Alergia - Calcium
HEEL Luffa compositum - Heel tabl. - 50 tabl. (poj.),Alergia - Calcium
"Hitaxa Fast junior tabl.uleg.rozpad.w j.ust. 2,5 mg 10 tabl.",Alergia - Calcium
Hitaxa fast tabl.uleg.rozpad.w j.ust. 5 mg 10 tabl.,Alergia - Calcium
Laboratoria PolfaŁódź ALERGO MAX JUNIOR roztw.doust. 500 mcg/ml 60 ml (but.),Alergia - Calcium
Laboratoria PolfaŁódź Alergo Max tabl.powl. 5 mg 10 tabl.,Alergia - Calcium
"LEHNING Santaherba krop.doust., roztw. - 30 ml",Alergia - Calcium
